range_0160	pass	[20.4.167,)
range_0161	pass	[20.4.72-beta,)
range_0162	pass	[20.5,)
range_0163	pass	[21,)
range_0164	pass	[21.0,)
range_0165	pass	[21.0-beta,)
range_0166	pass	[21.0.0,)
range_0167	pass	[21.0.0-beta,)
range_0168	pass	[21.0.110-beta,21.2.0)
range_0169	pass	[21.0.110-beta,)
range_0170	pass	[21.0.110-beta,21.2.0)
range_0171	pass	[21.0.111-beta,)
range_0172	pass	[21.0.118-beta,)
range_0173	pass	[21.0.133-beta,)
range_0174	pass	[21.0.143,)
range_0175	pass	[21.0.143,)
range_0176	pass	[21.0.20-beta,)
range_0177	pass	[21.0.31-beta,)
range_0178	pass	[21.0.67,)
range_0179	pass	[21.0.76-beta,)
range_0180	pass	[21.0.78-beta,)
range_0181	fail	[21.1,)
range_0182	fail	[21.1.0,)
range_0183	fail	[21.1.1,)
range_0184	fail	[21.1.115,)
range_0185	fail	[21.1.150,)
range_0186	fail	[21.1.162,)
range_0187	fail	[21.1.169,)
range_0188	fail	[21.1.174,)
range_0189	fail	[21.1.176,)
range_0190	fail	[21.1.192,)
range_0191	fail	[21.1.201,)
range_0192	fail	[21.1.206,)
range_0193	fail	[21.1.209,)
range_0194	fail	[21.1.21,)
range_0195	fail	[21.1.218,)
range_0196	fail	[21.1.219,)
range_0197	fail	[21.1.22,)
range_0198	fail	[21.1.226,)
range_0199	fail	[21.1.228,)
range_0200	fail	[21.1.230,)
range_0201	fail	[21.1.233,)
range_0202	fail	[21.1.4,)
range_0203	fail	[21.1.47,)
range_0204	fail	[21.1.57,)
range_0205	fail	[21.1.60,)
range_0206	fail	[21.1.61,)
range_0207	fail	[21.1.66,)
range_0208	fail	[21.1.72,)
range_0209	fail	[21.1.80,)
range_0210	fail	[21.1.82,)
range_0211	fail	[21.1.9,21.2)
range_0212	fail	[21.1.97,)
range_0213	pass	[4,)
range_0214	pass	[21.0,)
range_0215	pass	[21.0.14,)
range_0216	pass	[21.0.16,)
range_0217	pass	*
range_0218	pass	[21.1,21.2)
range_0219	pass	*
range_0220	pass	21.1.225
range_0221	pass	[*,)
