range_0001	0.1.3	[0.1,)
range_0002	0.1.3	[0.1.3,)
range_0003	0.12.15.5-beta.1+1.21	[0.12.15.0+1.21,)
range_0004	0.13.11	[0.13.10,)
range_0005	0.15.3+mc1.21.1	[0.14.7,)
range_0006	0.6.1	[0.6,)
range_0007	0.7.6+1.21+neoforge	[0.4.1,)
range_0008	0.7.6+1.21+neoforge	[0.6.6,)
range_0009	0.8.12-beta.1+mc1.21.1	(,0.8.12-alpha.2+mc1.21.1)
range_0010	0.8.12-beta.1+mc1.21.1	[0.6.9,)
range_0011	0.8.12-beta.1+mc1.21.1	[0.8.12-alpha.3,)
range_0012	1.0.3+1.21.1	[0,)
range_0013	1.0.6	[1.0.0,2.0)
range_0014	1.0.6	[1.0.6,)
range_0015	1.0.82+mc1.21.1	[1.0.82,)
range_0016	1.1-40	[1,1.2)
range_0017	1.1.0	[1.1.0,)
range_0018	1.1.24+1.21.1+neoforge	[1,)
range_0019	1.1.24+1.21.1+neoforge	[1.0.0,)
range_0020	1.1.24+1.21.1+neoforge	[1.1.10,)
range_0021	1.1.24+1.21.1+neoforge	[1.1.18,)
range_0022	1.1.5	[1.1.2,)
range_0023	1.1.5	[1.1.4,)
range_0024	1.11.2b	[1.11.0,)
range_0025	1.13.9	(,1.13.3]
range_0026	1.2.1+1.21.1	*
range_0027	1.21	1.21.1
range_0028	1.21	[1.20, 1.22)
range_0029	1.21	[1.20,)
range_0030	1.21	[1.20.5,)
range_0031	1.21	[1.20.5,1.22)
range_0032	1.21	[1.21, 1.21.1)
range_0033	1.21	[1.21, 1.21.1,)
range_0034	1.21	[1.21, 1.21.1]
range_0035	1.21	[1.21, 1.21.2)
range_0036	1.21	[1.21, 1.21.3]
range_0037	1.21	[1.21, 1.22)
range_0038	1.21	[1.21,)
range_0039	1.21	[1.21,1.21.1)
range_0040	1.21	[1.21,1.21.1]
range_0041	1.21	[1.21,1.21.2)
range_0042	1.21	[1.21,1.22)
range_0043	1.21	[1.21,1.30)
range_0044	1.21	[1.21.1, 1.21.2)
range_0045	1.21	[1.21.1, 1.22)
range_0046	1.21	[1.21.1,)
range_0047	1.21	[1.21.1,1.21.2)
range_0048	1.21	[1.21.1,1.21.8]
range_0049	1.21	[1.21.1,1.22)
range_0050	1.21	[1.21.1]
range_0051	1.21-2.0.15	[1.21-2.0.0,]
range_0052	1.21.1	1.21.1
range_0053	1.21.1	[1.20, 1.22)
range_0054	1.21.1	[1.20,)
range_0055	1.21.1	[1.20.5,)
range_0056	1.21.1	[1.20.5,1.22)
range_0057	1.21.1	[1.21, 1.21.1)
range_0058	1.21.1	[1.21, 1.21.1,)
range_0059	1.21.1	[1.21, 1.21.1]
range_0060	1.21.1	[1.21, 1.21.2)
